"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1978","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Feb 11 10:24:07 IST 2026","passed","Wed Feb 11 10:24:09 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","153","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Feb 11 10:24:10 IST 2026","passed","Wed Feb 11 10:24:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","548","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Feb 11 10:24:09 IST 2026","passed","Wed Feb 11 10:24:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","163","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Feb 11 10:24:10 IST 2026","passed","Wed Feb 11 10:24:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","344","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Feb 11 10:24:10 IST 2026","passed","Wed Feb 11 10:24:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
