"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Aug 08 10:45:37 IST 2026","broken","Sat Aug 08 10:45:37 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1592","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Aug 08 10:45:36 IST 2026","broken","Sat Aug 08 10:45:37 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","224","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Aug 08 10:45:38 IST 2026","failed","Sat Aug 08 10:45:38 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","171","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Aug 08 10:45:37 IST 2026","broken","Sat Aug 08 10:45:37 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","179","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Aug 08 10:45:37 IST 2026","broken","Sat Aug 08 10:45:38 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
