"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","160","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Mar 18 10:55:32 IST 2026","broken","Wed Mar 18 10:55:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","192","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Mar 18 10:55:31 IST 2026","failed","Wed Mar 18 10:55:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","193","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Mar 18 10:55:31 IST 2026","failed","Wed Mar 18 10:55:31 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","1993","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Mar 18 10:55:29 IST 2026","failed","Wed Mar 18 10:55:31 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","183","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Mar 18 10:55:32 IST 2026","passed","Wed Mar 18 10:55:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
