"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Thu Jul 31 10:00:18 IST 2025","passed","Thu Jul 31 10:00:18 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","1966","This method is used to verify the authenticated user can create a playlist","Surefire suite","Thu Jul 31 10:00:15 IST 2025","passed","Thu Jul 31 10:00:17 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","278","This method is used to verify the authenticated user can update a playlist","Surefire suite","Thu Jul 31 10:00:17 IST 2025","passed","Thu Jul 31 10:00:17 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","273","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Thu Jul 31 10:00:17 IST 2025","passed","Thu Jul 31 10:00:18 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","171","This method is used to verify with expired token to create a playlist","Surefire suite","Thu Jul 31 10:00:18 IST 2025","passed","Thu Jul 31 10:00:18 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
