"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","This method is used to verify the authenticated user can update a playlist","Surefire suite","Thu May 28 10:03:31 IST 2026","failed","Thu May 28 10:03:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","237","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Thu May 28 10:03:32 IST 2026","failed","Thu May 28 10:03:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","4133","This method is used to verify the authenticated user can create a playlist","Surefire suite","Thu May 28 10:03:27 IST 2026","failed","Thu May 28 10:03:31 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","328","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Thu May 28 10:03:32 IST 2026","broken","Thu May 28 10:03:32 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","291","This method is used to verify with expired token to create a playlist","Surefire suite","Thu May 28 10:03:32 IST 2026","passed","Thu May 28 10:03:33 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
