"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Thu Jul 24 10:35:54 IST 2025","passed","Thu Jul 24 10:35:54 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","178","This method is used to verify with expired token to create a playlist","Surefire suite","Thu Jul 24 10:35:55 IST 2025","passed","Thu Jul 24 10:35:55 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","3676","This method is used to verify the authenticated user can create a playlist","Surefire suite","Thu Jul 24 10:35:50 IST 2025","passed","Thu Jul 24 10:35:54 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","200","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Thu Jul 24 10:35:54 IST 2025","passed","Thu Jul 24 10:35:55 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","425","This method is used to verify the authenticated user can update a playlist","Surefire suite","Thu Jul 24 10:35:54 IST 2025","passed","Thu Jul 24 10:35:54 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
