"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","364","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Fri Sep 04 11:28:10 IST 2026","broken","Fri Sep 04 11:28:11 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","1685","This method is used to verify the authenticated user can create a playlist","Surefire suite","Fri Sep 04 11:28:08 IST 2026","broken","Fri Sep 04 11:28:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","261","This method is used to verify the authenticated user can update a playlist","Surefire suite","Fri Sep 04 11:28:10 IST 2026","broken","Fri Sep 04 11:28:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","357","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Fri Sep 04 11:28:10 IST 2026","broken","Fri Sep 04 11:28:10 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","232","This method is used to verify with expired token to create a playlist","Surefire suite","Fri Sep 04 11:28:11 IST 2026","failed","Fri Sep 04 11:28:11 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
