"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Jul 29 10:46:52 IST 2026","failed","Wed Jul 29 10:46:53 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","161","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Jul 29 10:46:52 IST 2026","broken","Wed Jul 29 10:46:52 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1695","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Jul 29 10:46:50 IST 2026","broken","Wed Jul 29 10:46:52 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","172","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Jul 29 10:46:52 IST 2026","broken","Wed Jul 29 10:46:52 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","174","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Jul 29 10:46:52 IST 2026","broken","Wed Jul 29 10:46:52 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
