"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Aug 06 10:00:16 IST 2025","passed","Wed Aug 06 10:00:16 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","215","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Aug 06 10:00:16 IST 2025","passed","Wed Aug 06 10:00:16 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","2001","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Aug 06 10:00:14 IST 2025","passed","Wed Aug 06 10:00:16 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","203","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Aug 06 10:00:16 IST 2025","passed","Wed Aug 06 10:00:17 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","287","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Aug 06 10:00:16 IST 2025","passed","Wed Aug 06 10:00:16 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
