"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1957","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon May 11 19:53:05 IST 2026","failed","Mon May 11 19:53:07 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","163","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon May 11 19:53:08 IST 2026","broken","Mon May 11 19:53:08 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","211","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon May 11 19:53:07 IST 2026","failed","Mon May 11 19:53:08 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","181","This method is used to verify with expired token to create a playlist","Surefire suite","Mon May 11 19:53:08 IST 2026","passed","Mon May 11 19:53:08 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","208","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon May 11 19:53:07 IST 2026","failed","Mon May 11 19:53:07 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
