"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Fri Jul 25 10:01:05 IST 2025","passed","Fri Jul 25 10:01:05 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","167","This method is used to verify with expired token to create a playlist","Surefire suite","Fri Jul 25 10:01:05 IST 2025","passed","Fri Jul 25 10:01:05 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","174","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Fri Jul 25 10:01:05 IST 2025","passed","Fri Jul 25 10:01:05 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","2357","This method is used to verify the authenticated user can create a playlist","Surefire suite","Fri Jul 25 10:01:02 IST 2025","passed","Fri Jul 25 10:01:04 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","346","This method is used to verify the authenticated user can update a playlist","Surefire suite","Fri Jul 25 10:01:04 IST 2025","passed","Fri Jul 25 10:01:05 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
