"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon Mar 30 10:21:51 IST 2026","failed","Mon Mar 30 10:21:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","1849","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon Mar 30 10:21:49 IST 2026","failed","Mon Mar 30 10:21:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","168","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon Mar 30 10:21:51 IST 2026","broken","Mon Mar 30 10:21:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","195","This method is used to verify with expired token to create a playlist","Surefire suite","Mon Mar 30 10:21:51 IST 2026","passed","Mon Mar 30 10:21:52 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","174","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon Mar 30 10:21:51 IST 2026","failed","Mon Mar 30 10:21:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
