"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","192","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon May 11 19:51:54 IST 2026","failed","Mon May 11 19:51:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","251","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon May 11 19:51:54 IST 2026","broken","Mon May 11 19:51:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","193","This method is used to verify with expired token to create a playlist","Surefire suite","Mon May 11 19:51:54 IST 2026","passed","Mon May 11 19:51:55 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","1676","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon May 11 19:51:52 IST 2026","failed","Mon May 11 19:51:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","271","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon May 11 19:51:54 IST 2026","failed","Mon May 11 19:51:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
