"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","This method is used to verify with expired token to create a playlist","Surefire suite","Tue Jul 28 10:30:49 IST 2026","failed","Tue Jul 28 10:30:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","176","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Tue Jul 28 10:30:48 IST 2026","broken","Tue Jul 28 10:30:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","166","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Tue Jul 28 10:30:48 IST 2026","broken","Tue Jul 28 10:30:48 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1639","This method is used to verify the authenticated user can create a playlist","Surefire suite","Tue Jul 28 10:30:46 IST 2026","broken","Tue Jul 28 10:30:48 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","188","This method is used to verify the authenticated user can update a playlist","Surefire suite","Tue Jul 28 10:30:48 IST 2026","broken","Tue Jul 28 10:30:48 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
