"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Aug 02 10:50:09 IST 2025","passed","Sat Aug 02 10:50:10 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1986","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Aug 02 10:50:07 IST 2025","passed","Sat Aug 02 10:50:09 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","295","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Aug 02 10:50:09 IST 2025","passed","Sat Aug 02 10:50:09 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","179","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Aug 02 10:53:57 IST 2025","passed","Sat Aug 02 10:53:58 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","227698","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Aug 02 10:50:10 IST 2025","passed","Sat Aug 02 10:53:57 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
