"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Thu Jul 24 13:03:30 IST 2025","passed","Thu Jul 24 13:03:30 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","1952","This method is used to verify the authenticated user can create a playlist","Surefire suite","Thu Jul 24 13:03:27 IST 2025","passed","Thu Jul 24 13:03:29 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","230","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Thu Jul 24 13:03:30 IST 2025","passed","Thu Jul 24 13:03:30 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","259","This method is used to verify the authenticated user can update a playlist","Surefire suite","Thu Jul 24 13:03:29 IST 2025","passed","Thu Jul 24 13:03:30 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","160","This method is used to verify with expired token to create a playlist","Surefire suite","Thu Jul 24 13:03:30 IST 2025","passed","Thu Jul 24 13:03:30 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
