"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Fri Jul 17 10:59:26 IST 2026","broken","Fri Jul 17 10:59:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","189","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Fri Jul 17 10:59:26 IST 2026","failed","Fri Jul 17 10:59:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","2335","This method is used to verify the authenticated user can create a playlist","Surefire suite","Fri Jul 17 10:59:23 IST 2026","failed","Fri Jul 17 10:59:25 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","292","This method is used to verify with expired token to create a playlist","Surefire suite","Fri Jul 17 10:59:26 IST 2026","failed","Fri Jul 17 10:59:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","184","This method is used to verify the authenticated user can update a playlist","Surefire suite","Fri Jul 17 10:59:25 IST 2026","failed","Fri Jul 17 10:59:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
