"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Jul 26 10:19:06 IST 2025","passed","Sat Jul 26 10:19:07 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","175","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Jul 26 10:19:07 IST 2025","passed","Sat Jul 26 10:19:07 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","1958","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Jul 26 10:19:04 IST 2025","passed","Sat Jul 26 10:19:06 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","264","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Jul 26 10:19:07 IST 2025","passed","Sat Jul 26 10:19:07 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","164","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Jul 26 10:19:07 IST 2025","passed","Sat Jul 26 10:19:07 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
