"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon Aug 10 10:53:51 IST 2026","broken","Mon Aug 10 10:53:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","224","This method is used to verify with expired token to create a playlist","Surefire suite","Mon Aug 10 10:53:51 IST 2026","failed","Mon Aug 10 10:53:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","184","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon Aug 10 10:53:50 IST 2026","broken","Mon Aug 10 10:53:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","156","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon Aug 10 10:53:51 IST 2026","broken","Mon Aug 10 10:53:51 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1799","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon Aug 10 10:53:49 IST 2026","broken","Mon Aug 10 10:53:50 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
