"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Jan 10 10:00:29 IST 2026","passed","Sat Jan 10 10:00:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","2028","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Jan 10 10:00:27 IST 2026","passed","Sat Jan 10 10:00:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","156","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Jan 10 10:00:30 IST 2026","passed","Sat Jan 10 10:00:30 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","438","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Jan 10 10:00:29 IST 2026","passed","Sat Jan 10 10:00:30 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","171","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Jan 10 10:00:30 IST 2026","passed","Sat Jan 10 10:00:30 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
