"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon Apr 06 10:21:11 IST 2026","failed","Mon Apr 06 10:21:11 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","160","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon Apr 06 10:21:11 IST 2026","broken","Mon Apr 06 10:21:12 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","159","This method is used to verify with expired token to create a playlist","Surefire suite","Mon Apr 06 10:21:12 IST 2026","passed","Mon Apr 06 10:21:12 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","162","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon Apr 06 10:21:11 IST 2026","failed","Mon Apr 06 10:21:11 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","2479","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon Apr 06 10:21:09 IST 2026","broken","Mon Apr 06 10:21:11 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
