"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","217","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Aug 01 10:02:29 IST 2026","failed","Sat Aug 01 10:02:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","184","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Aug 01 10:02:29 IST 2026","broken","Sat Aug 01 10:02:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","170","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Aug 01 10:02:29 IST 2026","broken","Sat Aug 01 10:02:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","179","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Aug 01 10:02:29 IST 2026","broken","Sat Aug 01 10:02:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","1672","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Aug 01 10:02:27 IST 2026","broken","Sat Aug 01 10:02:29 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
