"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","This method is used to verify with expired token to create a playlist","Surefire suite","Sun Mar 15 10:18:58 IST 2026","passed","Sun Mar 15 10:18:58 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","2277","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sun Mar 15 10:18:55 IST 2026","failed","Sun Mar 15 10:18:58 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","188","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sun Mar 15 10:18:58 IST 2026","failed","Sun Mar 15 10:18:58 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","164","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sun Mar 15 10:18:58 IST 2026","broken","Sun Mar 15 10:18:58 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","176","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sun Mar 15 10:18:58 IST 2026","failed","Sun Mar 15 10:18:58 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
