"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410","This method is used to verify the authenticated user can update a playlist","Surefire suite","Thu Jul 24 18:15:21 IST 2025","passed","Thu Jul 24 18:15:21 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","176","This method is used to verify with expired token to create a playlist","Surefire suite","Thu Jul 24 18:15:22 IST 2025","passed","Thu Jul 24 18:15:22 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","294","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Thu Jul 24 18:15:21 IST 2025","passed","Thu Jul 24 18:15:22 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","2090","This method is used to verify the authenticated user can create a playlist","Surefire suite","Thu Jul 24 18:15:19 IST 2025","passed","Thu Jul 24 18:15:21 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","173","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Thu Jul 24 18:15:22 IST 2025","passed","Thu Jul 24 18:15:22 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
