"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sun Jul 05 11:21:26 IST 2026","failed","Sun Jul 05 11:21:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","158","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sun Jul 05 11:21:26 IST 2026","broken","Sun Jul 05 11:21:27 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","160","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sun Jul 05 11:21:26 IST 2026","failed","Sun Jul 05 11:21:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","1738","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sun Jul 05 11:21:24 IST 2026","failed","Sun Jul 05 11:21:26 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","185","This method is used to verify with expired token to create a playlist","Surefire suite","Sun Jul 05 11:21:27 IST 2026","passed","Sun Jul 05 11:21:27 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
