"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Jul 08 10:21:54 IST 2026","broken","Wed Jul 08 10:21:55 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","170","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Jul 08 10:21:54 IST 2026","failed","Wed Jul 08 10:21:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","2399","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Jul 08 10:21:52 IST 2026","failed","Wed Jul 08 10:21:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","186","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Jul 08 10:21:55 IST 2026","passed","Wed Jul 08 10:21:55 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","177","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Jul 08 10:21:54 IST 2026","failed","Wed Jul 08 10:21:54 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
