"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1976","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sun Jan 11 10:06:14 IST 2026","passed","Sun Jan 11 10:06:16 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","251","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sun Jan 11 10:06:16 IST 2026","passed","Sun Jan 11 10:06:16 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","165","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sun Jan 11 10:06:16 IST 2026","passed","Sun Jan 11 10:06:16 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","154","This method is used to verify with expired token to create a playlist","Surefire suite","Sun Jan 11 10:06:16 IST 2026","passed","Sun Jan 11 10:06:16 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","298","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sun Jan 11 10:06:16 IST 2026","passed","Sun Jan 11 10:06:16 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
