"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sun Sep 06 10:29:44 IST 2026","broken","Sun Sep 06 10:29:44 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","223","This method is used to verify with expired token to create a playlist","Surefire suite","Sun Sep 06 10:29:44 IST 2026","failed","Sun Sep 06 10:29:44 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","165","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sun Sep 06 10:29:44 IST 2026","broken","Sun Sep 06 10:29:44 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","1493","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sun Sep 06 10:29:42 IST 2026","broken","Sun Sep 06 10:29:44 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","165","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sun Sep 06 10:29:44 IST 2026","broken","Sun Sep 06 10:29:44 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
