"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","353","This method is used to verify the authenticated user can update a playlist","Surefire suite","Sat Jan 24 10:07:21 IST 2026","passed","Sat Jan 24 10:07:21 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","210","This method is used to verify with expired token to create a playlist","Surefire suite","Sat Jan 24 10:07:22 IST 2026","passed","Sat Jan 24 10:07:22 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","2341","This method is used to verify the authenticated user can create a playlist","Surefire suite","Sat Jan 24 10:07:18 IST 2026","passed","Sat Jan 24 10:07:21 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","291","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Sat Jan 24 10:07:21 IST 2026","passed","Sat Jan 24 10:07:21 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","182","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Sat Jan 24 10:07:21 IST 2026","passed","Sat Jan 24 10:07:21 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
