"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2141","This method is used to verify the authenticated user can create a playlist","Surefire suite","Mon Aug 11 10:20:24 IST 2025","passed","Mon Aug 11 10:20:26 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","173","This method is used to verify with expired token to create a playlist","Surefire suite","Mon Aug 11 10:20:27 IST 2025","passed","Mon Aug 11 10:20:27 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
"","173","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Mon Aug 11 10:20:27 IST 2025","passed","Mon Aug 11 10:20:27 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","296","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Mon Aug 11 10:20:27 IST 2025","passed","Mon Aug 11 10:20:27 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","321","This method is used to verify the authenticated user can update a playlist","Surefire suite","Mon Aug 11 10:20:26 IST 2025","passed","Mon Aug 11 10:20:27 IST 2025","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
