"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","This method is used to verify the authenticated user can get newly created playlist","Surefire suite","Wed Jan 28 11:55:49 IST 2026","passed","Wed Jan 28 11:55:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","getPlaylist"
"","172","This method is used to verify the authenticated user cant create a playlist with empty name","Surefire suite","Wed Jan 28 11:55:49 IST 2026","passed","Wed Jan 28 11:55:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","noNameToCreatePlaylist"
"","367","This method is used to verify the authenticated user can update a playlist","Surefire suite","Wed Jan 28 11:55:48 IST 2026","passed","Wed Jan 28 11:55:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","updatePlaylist"
"","2474","This method is used to verify the authenticated user can create a playlist","Surefire suite","Wed Jan 28 11:55:46 IST 2026","passed","Wed Jan 28 11:55:48 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","createPlaylist"
"","154","This method is used to verify with expired token to create a playlist","Surefire suite","Wed Jan 28 11:55:49 IST 2026","passed","Wed Jan 28 11:55:49 IST 2026","com.spotify.oauth2.tests.PlaylistTests","Surefire test","com.spotify.oauth2.tests.PlaylistTests","expiredTokenToCreatePlaylist"
